winery,wine_type,city,country,wine_name,year,overall_rating,overall_rating_count,price,light_bold,smooth_tannic,dry_sweet,soft_acidic
Fèlsina,Red wine,Chianti Classico,Italy,Berardenga Chianti Classico,2015,3.7,2375,24.99,42.366,56.6444,4.04426,62.2856
Poderi Colla,Red wine,Barbaresco,Italy,Roncaglie Barbaresco,2015,3.7,179,54.95,57.9874,68.2629,1.21634,80
San Fereolo,Red wine,Langhe,Italy,Red,2008,3.7,168,71,61.7772,45.7685,14.6777,28.2373
Fontodi,Red wine,Colli della Toscana Centrale,Italy,Case Via Pinot Nero,2009,3.7,66,72.5,37.6868,28.7089,6.07803,62.5358
Marilyn,Red wine,Napa Valley,United States,Merlot,2011,3.7,58,39.99,63.6362,21.3758,12.1192,14.1231
Poggio San Polo,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2001,3.7,41,99.99,45.028,52.3314,4.13107,59.9283
Fullerton Wines,Red wine,Willamette Valley,United States,Momtazi Vineyard Pinot Noir,2014,3.7,34,75,21.9559,17.9788,0,62.5065
Donati,Red wine,Paicines,United States,The Immigrant Red,2014,3.7,28,27.99,80,50.3082,5.28877,62.9334
Cascina Corte,Red wine,Langhe,Italy,Langhe Nebbiolo,2013,3.6,69,75,63.0224,80,0.939637,80
Circadia,Red wine,Napa Valley,United States,Cabernet Sauvignon,2010,3.6,56,79.88,80,45.3466,0,50.7936
Beaulieu Vineyard (BV),Red wine,Napa Valley,United States,Napa Valley Cabernet Sauvignon,2001,3.6,30,40.99,80,49.4978,7.01332,50.1141
Firesteed,Red wine,Willamette Valley,United States,Pinot Noir Willamette Valley,2014,3.5,721,18.99,17.4658,17.1492,2.95835,62.1632
Miru,Red wine,Ghemme,Italy,Ghemme,2007,3.5,58,80,59.7712,69.6266,1.64951,78.4338
CasaSmith,Red wine,Wahluke Slope,United States,Porcospino Primitivo (Northridge Vineyard),2018,3.2,53,22.99,57.0435,56.6712,13.2174,62.4266
El Enemigo,Red wine,Mendoza,Argentina,Gran Enemigo,2016,4.6,490,79.99,76.6023,55.8914,12.2067,55.8559
Felipe Staiti,Red wine,Uco Valley,Argentina,Honor Blend,2015,4.6,89,79.97,-1,-1,-1,-1
Prats & Symington (P+S),Red wine,Douro,Portugal,Chryseia Douro,2016,4.5,1105,75.99,76.7695,54.2796,14.0255,41.7228
Quinta do Vesuvio,Red wine,Douro,Portugal,Douro,2011,4.5,773,79.99,76.9574,54.9921,4.93071,42.4049
Montes,Red wine,Colchagua Valley,Chile,Purple Angel,2017,4.5,583,79.97,76.0094,30.8324,9.83487,41.2058
Quinta do Crasto,Red wine,Douro,Portugal,Tinta Roriz,2011,4.5,488,73.99,80,58.1557,13.9004,43.8078
Altocedro,Red wine,La Consulta,Argentina,Malbec Gran Reserva,2016,4.5,476,78.99,65.9368,30.5644,22.3678,32.7329
Mollydooker,Red wine,McLaren Vale,Australia,Enchanted Path,2018,4.5,72,71.39,80,43.3243,10.4226,40.291
Santa Carolina,Red wine,Peumo,Chile,Herencia Carmenère,2012,4.5,72,78.99,73.4617,29.7731,11.5007,41.7216
Pegos Claros,Red wine,Palmela,Portugal,Primo,2015,4.5,63,75,56.6439,54.9372,16.1802,47.5
Bodegas Bianchi,Red wine,San Rafael,Argentina,Enzo Bianchi,2017,4.5,47,79.99,79.44,58.8839,0.808432,63.8224
Thorn-Clarke,Red wine,Barossa,Australia,Ron Thorn Shiraz,2014,4.5,32,70,80,48.5534,14.3673,41.6524
La Rioja Alta,Red wine,Rioja,Spain,Rioja Gran Reserva 904,2009,4.4,4661,80,58.3217,56.888,5.93234,59.3541
Mollydooker,Red wine,McLaren Vale,Australia,Carnival of Love Shiraz,2017,4.4,849,75.99,80,44.8399,19.3452,40.3375
Lan,Red wine,Rioja,Spain,Culmen Reserva Rioja,2011,4.4,681,74.99,64.1602,62.5334,2.9688,62.4414
Cepa 21,Red wine,Ribera del Duero,Spain,Malabrigo Ribera del Duero,2011,4.4,526,79.99,60.3113,52.6306,12.8739,60.9575
Domaine du Vieux Télégraphe,Red wine,Châteauneuf-du-Pape,France,Châteauneuf-du-Pape (La Crau),2017,4.4,333,79,80,37.8645,5.93597,42.7491
Casa Ferreirinha,Red wine,Douro,Portugal,Quinta da Leda Douro,2017,4.4,220,79.99,78.4575,54.0159,10.6528,40.6645
Roc de Cambes,Red wine,Côtes de Bourg,France,Côtes de Bourg,2016,4.4,184,75.99,63.2734,52.236,9.04347,59.2168
By Farr,Red wine,Geelong,Australia,Farrside Pinot Noir,2018,4.4,143,75.99,43.8861,11.8367,7.69499,49.9178
Louis Jadot,Red wine,Chassagne-Montrachet,France,Chassagne-Montrachet Rouge,2017,4.4,133,70,32.4984,17.6819,4.93911,62.8533
Nin-Ortiz,Red wine,Priorat,Spain,Nit de Nin Mas d'en Caçador,2013,4.4,132,80,80,47.1319,23.8866,48.3455
Château de Beaucastel,Red wine,Châteauneuf-du-Pape,France,Châteauneuf-du-Pape,2018,4.4,118,79.49,80,37.1828,8.63856,42.3266
Bosquet des Papes,Red wine,Châteauneuf-du-Pape,France,Chante Le Merle Vieilles Vignes Châteauneuf-du-Pape,2001,4.4,105,73.95,80,39.9263,8.49308,42.0904
Domaine Jean-Louis Chave,Red wine,Saint-Joseph,France,Saint-Joseph,2017,4.4,100,75.95,70.5132,47.4582,4.50796,52.0338
Domaine de Beaurenard,Red wine,Châteauneuf-du-Pape,France,Châteauneuf-du-Pape Boisrenard,2017,4.4,62,73.99,79.2966,37.5107,3.45194,40.2159
