winery,wine_type,city,country,wine_name,year,overall_rating,overall_rating_count,price,light_bold,smooth_tannic,dry_sweet,soft_acidic
The Crane Assembly,Red wine,Napa Valley,United States,El Coco,2018,4.6,84,71.35,80,51.2999,13.6504,60.5451
Hourglass,Red wine,Calistoga,United States,Blueline Estate Merlot,2018,4.6,55,75,65.7942,18.1393,14.7229,9.16193
Pride Mountain Vineyards,Red wine,Sonoma County,United States,Cabernet Franc,2018,4.6,54,78.95,55.1107,50.5279,1.63651,42.1526
La Giaretta,Red wine,Amarone della Valpolicella Classico,Italy,I Quadretti Amarone della Valpolicella Classico,2016,4.6,48,74.99,80,17.725,46.8937,22.4857
Law Estate Wines,Red wine,Paso Robles,United States,Audacious,2017,4.6,44,76.99,80,58.6054,4.14504,60.3866
Kamen,Red wine,Sonoma Valley,United States,Writer's Block Blend,2017,4.6,41,72.99,80,59.5813,3.41782,62.8728
Peju,Red wine,Napa Valley,United States,Cabernet Franc,2017,4.6,38,77.99,54.9403,48.2627,3.32577,40.4648
Donum,Red wine,Anderson Valley,United States,Anderson Valley Estate Pinot Noir,2017,4.6,36,71.99,49.7998,22.1007,5.13371,54.6093
Silverado Vineyards,Red wine,Napa Valley,United States,Oakville Station Cabernet Sauvignon,2014,4.6,32,74.99,-1,-1,-1,-1
Scribe,Red wine,Atlas Peak,United States,Atlas Peak West Cabernet Sauvignon,2017,4.6,28,69.99,-1,-1,-1,-1
Law Estate Wines,Red wine,Paso Robles,United States,Beyond Category,2017,4.6,26,78.95,80,51.8023,6.38954,61.6799
Orin Swift,Red wine,Napa Valley,United States,Papillon,2017,4.5,2792,79.99,80,51.3046,7.33362,62.2901
Silver Oak,Red wine,Alexander Valley,United States,Alexander Valley Cabernet Sauvignon,2016,4.5,1893,73.33,80,47.803,1.31668,39.9506
Domaine Serene,Red wine,Willamette Valley,United States,Evenstad Reserve Pinot Noir,2017,4.5,260,74.99,22.4727,18.3336,2.29021,61.6379
Pride Mountain Vineyards,Red wine,Napa Valley,United States,Cabernet Sauvignon,2017,4.5,196,76,80,48.9745,4.97294,47.1622
Hall,Red wine,Napa Valley,United States,Ellie's Cabernet Sauvignon,2016,4.5,181,74.99,80,48.684,5.45088,48.0035
Del Dotto,Red wine,Napa Valley,United States,Cabernet Sauvignon Caves,2017,4.5,171,78.95,80,47.473,9.51775,49.2236
Lail Vineyards,Red wine,Napa Valley,United States,Blueprint Cabernet Sauvignon,2018,4.5,141,74.99,80,51.5107,5.66011,49.9055
Paradigm,Red wine,Oakville,United States,Cabernet Sauvignon,2016,4.5,120,79.99,80,47.8488,5.49579,49.6342
Hall,Red wine,St. Helena,United States,Eighteen Seventy Three Cabernet Sauvignon,2017,4.5,107,74.99,80,51.5983,9.36878,49.4873
Axr,Red wine,Napa Valley,United States,Cabernet Sauvignon,2015,4.5,104,72.99,80,56.9611,2.69529,50.9566
Fisher Vineyards,Red wine,Sonoma County,United States,Mountain Estate Vineyard Cabernet Sauvignon,2013,4.5,104,77.66,80,62.6956,0,56.6389
The Eyrie Vineyards,Red wine,Oregon,United States,Pinot Meunier,2016,4.5,93,76.99,-1,-1,-1,-1
Williams Selyem,Red wine,Russian River Valley,United States,Eastside Road Neighbors Pinot Noir,2013,4.5,86,79,41.5766,19.2088,11.9994,51.6059
Williams Selyem,Red wine,Central Coast,United States,Central Coast Pinot Noir,2018,4.5,84,72.99,41.9853,15.1752,3,51.4042
Poggio Antico,Red wine,Brunello di Montalcino,Italy,Altero Brunello di Montalcino,2015,4.5,82,79.99,46.9498,52.8648,4.47095,60.7645
Michael Mondavi,Red wine,Napa Valley,United States,Animo Cabernet Sauvignon,2016,4.5,80,74.76,80,54.0821,1.75134,50.1764
Frank Family,Red wine,Rutherford,United States,Rutherford Reserve Cabernet Sauvignon,2017,4.5,76,79.55,80,46.2282,4.46954,49.7522
Palmaz,Red wine,Napa Valley,United States,Cedar Knoll Vineyard Cabernet Sauvignon,2016,4.5,74,79.99,80,47.0117,0,51.5262
Law Estate Wines,Red wine,Paso Robles,United States,Sagacious,2014,4.5,63,78,80,56.0359,10.5405,54.2643
Paolo Bea,Red wine,Montefalco,Italy,Pipparello Montefalco Rosso Riserva,2015,4.5,62,76,51.8685,41.8329,3.9685,46.9659
A. Rafanelli,Red wine,Dry Creek Valley,United States,Cabernet Sauvignon,2017,4.5,61,77.99,80,54.8554,5.87366,41.9819
Paul Hobbs,Red wine,Sonoma County,United States,Goldrock Estate Pinot Noir,2017,4.5,61,79.95,41.171,13.6773,0.084485,47.1579
Donelan,Red wine,Sonoma County,United States,Two Brothers Pinot Noir,2014,4.5,58,79.99,35.8885,18.1662,0,51.7229
Quilceda Creek,Red wine,Columbia Valley,United States,CVR Red,2018,4.5,58,79.99,66.0747,52.9689,7.33667,60.2171
Bergström,Red wine,Ribbon Ridge,United States,Le Pré du Col Vineyard Pinot Noir,2017,4.5,53,79.99,19.0928,17.2543,1.62638,62.3142
Pursued by Bear,Red wine,Columbia Valley,United States,Baby Bear Syrah,2015,4.5,46,79.99,63.425,53.9589,10.1008,51.6572
Williams Selyem,Red wine,Russian River Valley,United States,Russian River Valley Pinot Noir,2019,4.5,42,79.95,42.3491,16.9566,3.64633,50.6062
Brewer-Clifton,Red wine,Sta. Rita Hills,United States,Machado Pinot Noir,2016,4.5,39,79.84,39.9409,23.9049,0,59.1023
Williams Selyem,Red wine,Russian River Valley,United States,Calegari Vineyard Pinot Noir,2013,4.5,36,79,45.4288,21.0249,0,50.0246
Williams Selyem,Red wine,Sonoma Coast,United States,Sonoma Coast Pinot Noir,2019,4.5,36,79.99,42.6808,20.5291,6.16978,51.8014
Law Estate Wines,Red wine,Paso Robles,United States,Sagacious,2017,4.5,33,79.99,80,56.0359,10.5405,54.2643
Rivers-Marie,Red wine,Sonoma Coast,United States,Silver Eagle Vineyard Pinot Noir,2018,4.5,32,77.99,48.0578,18.3995,9.19638,52.7455
Merry Edwards,Red wine,Russian River Valley,United States,Coopersmith Pinot Noir,2017,4.5,28,72.99,47.0991,19.3297,11.7221,48.5758
Hayfork,Red wine,St. Helena,United States,Lewelling Ranch Cabernet Sauvignon,2017,4.5,28,71.99,80,51.6111,6.1109,49.1297
Merry Edwards,Red wine,Russian River Valley,United States,Klopp Ranch Pinot Noir,2017,4.5,28,79.99,43.8821,18.2368,6.45904,50.7297
Robert Sinskey,Red wine,Los Carneros,United States,Three Amigos Vineyard Pinot Noir,2015,4.5,27,79.99,42.44,16.8967,0,53.1443
Bydand,Red wine,Napa Valley,United States,Cabernet Sauvignon,2016,4.5,27,70.37,80,46.2972,0,54.4778
Barnett,Red wine,Spring Mountain District,United States,Merlot,2018,4.5,27,71.99,63.2543,18.414,19.2718,12.0444
Bennett Lane,Red wine,Napa Valley,United States,Cabernet Sauvignon,2016,4.5,27,71.99,80,47.4779,6.98306,49.5388
Montesquieu,Red wine,Napa Valley,United States,Derenoncourt Meritage,2007,4.5,27,77,80,54.0049,0,65.4505
Duckhorn,Red wine,Napa Valley,United States,Napa Valley Cabernet Sauvignon,2016,4.4,3586,77.49,80,46.7362,5.49122,49.2699
Casanova di Neri,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2015,4.4,1506,79.99,46.3409,54.0464,7.80237,60.4794
Belle Glos,Red wine,Santa Lucia Highlands,United States,Las Alturas Vineyard Pinot Noir,2011,4.4,876,75,49.0637,15.7319,11.1631,50.1258
Cliff Lede,Red wine,Stags Leap District,United States,Stags Leap District Cabernet Sauvignon,2015,4.4,695,79.99,80,50.1253,3.99857,50.6451
Bella Union,Red wine,Napa Valley,United States,Cabernet Sauvignon,2014,4.4,662,74.95,80,47.7439,4.04781,49.6632
Cakebread,Red wine,Napa Valley,United States,Cabernet Sauvignon,2017,4.4,652,74.88,80,46.6477,4.57023,49.7952
Castello di Bolgheri,Red wine,Bolgheri Superiore,Italy,Bolgheri Superiore,2015,4.4,630,74.99,-1,-1,-1,-1
San Leonardo,Red wine,Vigneti delle Dolomiti,Italy,San Leonardo,2015,4.4,402,74.89,59.2404,39.6321,14.5146,29.5096
Immortal Estate,Red wine,Sonoma County,United States,Slope,2014,4.4,383,74.99,80,51.4651,0.573332,44.51
Ca La Bionda,Red wine,Amarone della Valpolicella Classico,Italy,Vigneti di Ravazzol Amarone della Valpolicella Classico,2012,4.4,338,71.39,78.3508,23.6379,44.5652,26.5964
Terralsole,Red wine,Brunello di Montalcino,Italy,Riserva Brunello di Montalcino,2010,4.4,331,79.99,46.4651,55.0713,3.50187,62.2403
Trinchero,Red wine,Napa Valley,United States,BRV Estate Grown Cabernet Sauvignon,2014,4.4,328,76.49,80,54.1264,3.51628,50.5603
Schrader,Red wine,Oakville,United States,Double Diamond Oakville Cabernet Sauvignon,2017,4.4,316,78.1,80,49.702,7.31266,46.6673
Pride Mountain Vineyards,Red wine,California,United States,Merlot,2016,4.4,307,73.99,65.1607,18.8187,14.808,9.39067
Trinchero,Red wine,Napa Valley,United States,BRV Estate Grown Cabernet Sauvignon,2013,4.4,274,79.99,80,54.1264,3.51628,50.5603
O'Shaughnessy,Red wine,Napa Valley,United States,Cabernet Sauvignon Napa Valley,2017,4.4,265,71.3,80,53.1918,6.93226,48.7395
Brancaia,Red wine,Toscana,Italy,IL Blu,2016,4.4,261,74.99,50.6331,41.8574,9.29103,44.1043
Shea Wine Cellars,Red wine,Willamette Valley,United States,Estate Pinot Noir,2016,4.4,261,76.99,23.6563,18.2952,4.00143,59.7397
Teeter-Totter,Red wine,Napa Valley,United States,Cabernet Sauvignon,2018,4.4,241,74.9,80,48.3371,8.54283,47.88
The Crane Assembly,Red wine,Napa Valley,United States,El Coco,2016,4.4,223,74.99,80,51.2999,13.6504,60.5451
Caymus,Red wine,Napa Valley,United States,Cabernet Sauvignon,2019,4.4,189,78.88,80,44.4637,12.8842,47.9278
Le Ragnaie,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2015,4.4,187,79.99,44.1579,55.6322,1.54547,62.8996
Kistler,Red wine,Russian River Valley,United States,Russian River Valley Pinot Noir,2018,4.4,183,74.99,40.6992,17.3457,7.85668,52.9118
Pietroso,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2015,4.4,177,76.99,49.4596,53.8617,0,60.3715
Pahlmeyer,Red wine,Napa Valley,United States,Jayson Cabernet Sauvignon,2017,4.4,177,79.95,80,48.575,7.2446,48.3215
Domaine Drouhin,Red wine,Dundee Hills,United States,Lauréne Pinot Noir,2017,4.4,158,71.99,23.8052,20.3295,3.45548,60.0405
Flowers,Red wine,Sonoma Coast,United States,Sea View Ridge Vineyard Pinot Noir,2016,4.4,143,71.39,34.4164,16.8998,0.550565,51.438
Guarachi,Red wine,Napa Valley,United States,Cabernet Sauvignon,2011,4.4,142,77.99,80,46.115,8.71615,49.2323
Giacomo Conterno,Red wine,Barbera d'Alba,Italy,Barbera d'Alba Vigna Francia,2018,4.4,141,72.11,54.5598,23.5859,6.8938,62.027
Textbook,Red wine,Oakville,United States,Mise en place Cabernet Sauvignon,2017,4.4,136,71.99,74.8216,45.5929,5.07245,45.301
Sinegal Estate,Red wine,Napa Valley,United States,Napa Valley Cabernet Sauvignon,2018,4.4,131,79.99,79.397,47.7501,6.44848,46.0308
Schrader,Red wine,Oakville,United States,Double Diamond Oakville Cabernet Sauvignon,2018,4.4,117,74.99,80,49.702,7.31266,46.6673
Stolpman Vineyards,Red wine,Ballard Canyon,United States,Angeli,2010,4.4,106,77.99,74.6939,55.4303,3.13947,42.2758
Le Salette,Red wine,Amarone della Valpolicella Classico,Italy,Amarone della Valpolicella Classico,2015,4.4,98,78.99,80,23.6711,45.6738,22.5471
Spottswoode,Red wine,St. Helena,United States,Lyndenhurst Cabernet Sauvignon,2017,4.4,95,79.99,80,54.275,5.53937,49.5148
K Vintners,Red wine,Snipes Mountain,United States,The Cattle King Syrah,2016,4.4,93,72.75,66.4732,55.6002,2.70014,52.1967
Spring Mountain Vineyard,Red wine,Napa Valley,United States,Cabernet Sauvignon,2016,4.4,91,79.97,80,49.3876,2.87001,48.1058
Carlisle,Red wine,Russian River Valley,United States,Papera Ranch Zinfandel,2013,4.4,90,74.99,80,27.4091,25.5833,27.2837
Austin Hope,Red wine,Paso Robles,United States,Mourvèdre - Syrah,2014,4.4,89,75.99,80,51.3241,12.088,48.9116
Failla,Red wine,Anderson Valley,United States,Savoy Vineyard Pinot Noir,2017,4.4,88,73.99,37.4924,21.5669,13.8936,51.9437
Andrew Will,Red wine,Red Mountain,United States,Ciel du Cheval Vineyard Red,2013,4.4,87,79.99,63.7628,52.8849,1.20556,63.3944
Aftermath,Red wine,Napa Valley,United States,Cabernet Sauvignon,2014,4.4,86,74.99,80,54.1755,7.57784,47.4155
Walt,Red wine,Russian River Valley,United States,Bob's Ranch Pinot Noir,2018,4.4,84,74.89,52.437,20.4864,16.542,47.9462
Aftermath,Red wine,Napa Valley,United States,Cabernet Sauvignon,2015,4.4,84,74.99,80,54.1755,7.57784,47.4155
Silverado Vineyards,Red wine,Coombsville,United States,GEO Cabernet Sauvignon,2016,4.4,83,78.95,80,47.8532,7.68838,48.7496
Andrew Will,Red wine,Red Mountain,United States,Ciel du Cheval Vineyard Red,2014,4.4,82,79.99,63.7628,52.8849,1.20556,63.3944
Keever,Red wine,Napa Valley,United States,Inspirado,2016,4.4,79,71.39,80,53.1431,0.804602,62.9083
Lucienne,Red wine,Santa Lucia Highlands,United States,Smith Vineyard Pinot Noir,2016,4.4,77,78.99,43.0689,20.2425,4.23693,50.286
Nickel & Nickel,Red wine,Russian River Valley,United States,Darien Vineyard Syrah,2017,4.4,76,74.99,76.652,52.3655,8.60408,39.9255
Austin Hope,Red wine,Paso Robles,United States,Hope Family Vineyard Syrah,2015,4.4,74,79.99,77.4895,53.7517,5.56202,39.7857
Booker,Red wine,Paso Robles,United States,Vertigo,2017,4.4,73,80,80,50.4719,4.68712,50.0374
Priest Ranch,Red wine,Napa Valley,United States,Coach Gun,2015,4.4,66,76.45,80,60.3695,6.63408,61.6914
Beringer,Red wine,Howell Mountain,United States,Single Vineyard Bancroft Ranch Merlot,2016,4.4,61,79.99,65.621,19.3312,13.7765,8.66987
Soter Vineyards,Red wine,Yamhill-Carlton District,United States,Mineral Springs Ranch Pinot Noir,2017,4.4,60,79.99,24.1122,20.8722,2.48805,60.872
Piaggia,Red wine,Toscana,Italy,Poggio de’Colli Cabernet Franc Toscana,2017,4.4,58,79.99,50.6414,37.5811,15.0205,42.5548
Keever,Red wine,Napa Valley,United States,Inspirado,2015,4.4,57,76.99,80,53.1431,0.804602,62.9083
Silverado Vineyards,Red wine,Coombsville,United States,GEO Cabernet Sauvignon,2017,4.4,57,78.99,80,47.8532,7.68838,48.7496
Vine Cliff,Red wine,Napa Valley,United States,Napa Valley Cabernet Sauvignon,2018,4.4,57,80,80,52.0001,2.2324,50.3064
Xtant,Red wine,Napa Valley,United States,Red,2009,4.4,57,70.99,80,46.8759,6.6875,58.6669
Umberto Cesari,Red wine,Sangiovese di Romagna,Italy,Tauleto Sangiovese,2014,4.4,55,79.99,50.0127,34.9779,7.93495,39.6651
Máté,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2016,4.4,55,78.99,45.0383,55.8413,8.62057,60.6405
Foradori,Red wine,Vigneti delle Dolomiti,Italy,Granato,2018,4.4,52,78.99,61.839,40.4367,15.9684,31.4787
Groth,Red wine,Oakville,United States,Cabernet Sauvignon,2002,4.4,52,79.97,80,48.0045,2.52507,49.5789
Little Giant,Red wine,Napa Valley,United States,Cabernet Sauvignon,2016,4.4,51,70,80,54.6782,0.433368,50.2484
Levendi,Red wine,Howell Mountain,United States,Howell Mountain Cabernet Sauvignon,2013,4.4,51,79.99,80,58.4502,0,49.5884
Elyse,Red wine,Rutherford,United States,Morisoli Vineyard Cabernet Sauvignon,2015,4.4,48,79.99,80,51.7873,8.93268,49.0446
AJ Pearce,Red wine,Coombsville,United States,Mount George Vineyard Cabernet Sauvignon,2014,4.4,45,70.99,80,48.8762,0,50.9913
Raymond,Red wine,Rutherford,United States,District Collection Cabernet Sauvignon,2008,4.4,44,80,79.7944,49.8064,7.11015,49.366
Linne Calodo,Red wine,Paso Robles,United States,Outsider,2016,4.4,44,74.95,80,53.2891,21.7576,59.4768
Melville,Red wine,Sta. Rita Hills,United States,Sandy's Pinot Noir,2017,4.4,43,72.99,38.6355,16.3606,0,48.5909
Dutton-Goldfield,Red wine,Russian River Valley,United States,Freestone Hill Vineyard Pinot Noir,2016,4.4,41,78.99,44.9251,16.722,3.96736,51.558
La Sirena,Red wine,Knights Valley,United States,Malbec,2015,4.4,39,77.99,65.4062,32.8767,12.8663,31.8785
Dragonette,Red wine,Sta. Rita Hills,United States,Radian Vineyard Pinot Noir,2016,4.4,39,71.39,44.4007,15.433,4.86497,51.4741
Sojourn,Red wine,Sonoma Coast,United States,Gap's Crown Vineyard Pinot Noir,2018,4.4,38,71.99,44.5056,18.0184,5.07135,51.0993
Addax,Red wine,Sonoma Coast,United States,Pinot Noir,2017,4.4,38,75,49.7304,25.2673,8.07028,46.6636
Linne Calodo,Red wine,Paso Robles,United States,Perfectionist,2013,4.4,36,78,80,46.9665,5.62474,48.0377
Palladino,Red wine,Barolo,Italy,Barolo Parafada,2016,4.4,36,79.99,62.5812,72.871,8.23745,80
Cascina Adelaide,Red wine,Barolo,Italy,Fossati Barolo,2009,4.4,36,74.99,62.8071,74.7213,0,80
La Ganghija,Red wine,Barbaresco,Italy,Giacosa Barbaresco,2016,4.4,35,70.99,69.6855,79.7903,0,80
Acre,Red wine,Napa Valley,United States,Cabernet Sauvignon,2016,4.4,34,74.99,80,44.0689,11.9113,44.6324
La Sala,Red wine,Toscana,Italy,Campo All’Albero,2016,4.4,31,73.99,56.1648,42.271,2.5388,37.5458
Evening Land,Red wine,Eola-Amity Hills,United States,La Source Seven Springs Vineyard Pinot Noir,2017,4.4,31,79.99,19.2744,17.5803,0,63.677
Law Estate Wines,Red wine,Paso Robles,United States,Beguiling,2017,4.4,30,77.99,80,52.0452,7.19916,51.5504
The Farm,Red wine,Paso Robles,United States,The Big Game,2013,4.4,29,79.99,80,62.6963,1.09312,63.1334
Coho,Red wine,Coombsville,United States,Michael Black Vineyard Merlot,2014,4.4,28,79.99,63.8385,14.886,22.2784,6.00926
Ceritas,Red wine,Anderson Valley,United States,Hacienda Secoya Vineyard Pinot Noir,2017,4.4,27,74.99,38.8075,15.9509,0,48.9755
Linne Calodo,Red wine,Paso Robles,United States,Outsider,2014,4.4,25,72.98,80,53.2891,21.7576,59.4768
Jordan,Red wine,Alexander Valley,United States,Cabernet Sauvignon,2012,4.3,4843,74.99,80,46.0328,0.68238,40.6803
Belle Glos,Red wine,Santa Maria Valley,United States,Clark & Telephone Vineyard Pinot Noir,2012,4.3,2727,70,46.8918,15.3174,11.686,50.0242
Antinori,Red wine,Chianti Classico,Italy,Badia a Passignano Gran Selezione Chianti Classico,2015,4.3,2715,70.99,46.3687,53.1369,5.93103,60.0278
Tenuta CastelGiocondo,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2015,4.3,2129,79.99,45.8335,54.7965,4.24559,61.5346
Tenuta Il Poggione,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2015,4.3,1942,79.99,47.0222,56.0367,5.48307,61.5752
Masi,Red wine,Amarone della Valpolicella,Italy,Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico,2011,4.3,1828,79.99,80,22.7768,46.0849,21.5779
Braida,Red wine,Barbera d'Asti,Italy,Bricco dell'Uccellone Barbera d'Asti,2016,4.3,1422,79.99,56.8557,24.2623,11.1295,62.5562
Pio Cesare,Red wine,Barolo,Italy,Barolo,2015,4.3,1285,79.99,60.1045,74.0152,1.08994,80
Speri,Red wine,Amarone della Valpolicella Classico,Italy,Vigneto Monte Sant'Urbano Amarone della Valpolicella Classico,2015,4.3,1106,74.99,80,21.9629,44.887,22.5403
Schrader,Red wine,Oakville,United States,Double Diamond Oakville Cabernet Sauvignon,2016,4.3,1007,73.99,80,49.702,7.31266,46.6673
Grgich Hills,Red wine,Napa Valley,United States,Cabernet Sauvignon,2015,4.3,981,71.99,80,51.1991,3.23194,50.7823
Antinori,Red wine,Brunello di Montalcino,Italy,Pian delle Vigne Brunello di Montalcino,2015,4.3,958,71.39,45.1232,50.3083,4.85533,59.9812
Donnafugata,Red wine,Contessa Entellina,Italy,Mille E Una Notte,2015,4.3,954,79.95,80,41.7772,25.4627,25.6327
Mount Peak,Red wine,Sonoma County,United States,Rattlesnake Zinfandel,2014,4.3,933,78.99,80,29.2917,27.8675,14.017
Fonterutoli,Red wine,Toscana,Italy,Concerto Di Fonterutoli,2015,4.3,493,79.99,54.3349,43.364,7.28406,44.7041
Flora Springs,Red wine,Napa Valley,United States,Trilogy,2012,4.3,478,74,80,48.8216,4.62605,60.5499
G.D. Vajra,Red wine,Barolo,Italy,Barolo Bricco Delle Viole,2015,4.3,468,80,58.0298,75.316,2.81408,79.8418
Secondo Marco,Red wine,Amarone della Valpolicella,Italy,Amarone della Valpolicella,2011,4.3,449,72.99,80,21.5287,46.4541,25.7828
Avignonesi,Red wine,Vino Nobile di Montepulciano,Italy,Grandi Annate Vino Nobile di Montepulciano,2013,4.3,426,78.99,52.4912,55.0977,3.97119,63.1017
Hoopes Vineyard,Red wine,Napa Valley,United States,Napa Valley Cabernet Sauvignon,2015,4.3,420,79.99,80,50.4018,6.54213,51.4074
Ricasoli,Red wine,Chianti Classico,Italy,Colledilà Chianti Classico Gran Selezione,2015,4.3,371,76.84,44.4526,54.7016,3.19505,62.1213
Vaso,Red wine,Napa Valley,United States,Cabernet Sauvignon,2015,4.3,352,79.99,-1,-1,-1,-1
Belle Glos,Red wine,Santa Lucia Highlands,United States,Las Alturas Vineyard Pinot Noir,2009,4.3,340,75,49.0637,15.7319,11.1631,50.1258
St. Supéry,Red wine,Napa Valley,United States,Élu,2013,4.3,338,71.74,80,50.1135,4.07836,62.2379
Pio Cesare,Red wine,Barolo,Italy,Barolo,2016,4.3,333,71.72,60.1045,74.0152,1.08994,80
Gaja,Red wine,Barolo,Italy,Dagromis Barolo,2016,4.3,324,79.99,61.0179,73.1142,3.69583,80
Foley Johnson,Red wine,Rutherford,United States,Rutherford Cabernet Sauvignon,2017,4.3,297,76.99,80,52.3544,7.33769,50.4624
Sterling Vineyards,Red wine,Napa Valley,United States,Platinum Cabernet Sauvignon,2013,4.3,285,74.95,80,51.8796,12.4445,54.1452
Nickel & Nickel,Red wine,Napa Valley,United States,Suscol Ranch Merlot,2014,4.3,271,74.99,63.7519,17.818,12.1034,8.74601
Tenuta La Fuga,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2014,4.3,264,74.99,46.2719,54.3366,2.16886,60.6628
Tenuta La Fuga,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2015,4.3,261,79.99,46.2719,54.3366,2.16886,60.6628
Hendry,Red wine,Napa Valley,United States,Hendry Vineyard Cabernet Sauvignon,2005,4.3,255,71.99,80,57.3724,0.810053,51.5469
Reynolds Family Winery,Red wine,Napa Valley,United States,Persistence Red,2016,4.3,246,79.99,80,48.8781,0.857988,61.4482
Marchesi Fumanelli,Red wine,Amarone della Valpolicella,Italy,Amarone della Valpolicella,2011,4.3,243,74.99,80,21.3551,48.2914,22.3143
Chappellet,Red wine,Napa Valley,United States,Cabernet Sauvignon (Signature),2017,4.3,241,72.99,80,49.1935,5.42587,49.6728
Etude,Red wine,Napa Valley,United States,Cabernet Sauvignon,2015,4.3,222,79.95,80,49.5664,4.83011,49.7355
Evening Land,Red wine,Eola-Amity Hills,United States,La Source Seven Springs Vineyard Pinot Noir,2015,4.3,201,71.68,19.2744,17.5803,0,63.677
Il Paradiso di Frassina,Red wine,Brunello di Montalcino,Italy,(MozArt Wine) Brunello di Montalcino,2015,4.3,196,72,44.093,52.7409,2.92601,62.2805
Darioush,Red wine,Napa Valley,United States,Shiraz (Signature),2016,4.3,189,74.99,76.4607,53.9829,2.37922,40.8939
G.D. Vajra,Red wine,Barolo,Italy,Barolo Ravera,2014,4.3,185,73.99,59.2686,79.4318,0.257813,79.641
Col Solare,Red wine,Red Mountain,United States,Cabernet Sauvignon,2016,4.3,183,78.99,64.1357,61.2033,3.95247,62.9196
Richard G. Peterson,Red wine,Santa Lucia Highlands,United States,Pinot Noir,2017,4.3,171,71.39,36.9514,16.7334,10.5409,49.358
Gianni Brunelli,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2014,4.3,172,73.95,42.0145,54.8605,2.40148,61.3433
Zenato,Red wine,Veneto,Italy,Cresasso Corvina Veronese,2012,4.3,165,74.99,63.9553,36.8028,14.6544,20.89
Darioush,Red wine,Napa Valley,United States,Merlot (Signature),2016,4.3,163,72.99,63.5924,24.3791,14.6376,11.9391
Turley,Red wine,Atlas Peak,United States,Mead Ranch Zinfandel,2015,4.3,160,79.97,80,27.0452,30.3148,12.9736
Inglenook,Red wine,Rutherford,United States,RC Reserve,2013,4.3,148,74.99,80,51.8527,2.95626,47.9551
Carpineto,Red wine,Toscana,Italy,Molin Vecchio,2010,4.3,146,73.99,43.6185,40.0558,4.50807,39.651
Corte dei Venti,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2013,4.3,140,79.99,47.4348,45.5652,0.330428,52.8934
Sterling Vineyards,Red wine,Napa Valley,United States,Platinum Cabernet Sauvignon,2014,4.3,134,79.99,80,51.8796,12.4445,54.1452
Chimney Rock,Red wine,Stags Leap District,United States,Elevage,2015,4.3,125,79.99,80,51.0705,3.45647,60.6989
Château St. Jean,Red wine,Sonoma County,United States,Cinq Cépages,2016,4.3,124,79.99,80,54.5451,5.85542,51.901
Adanti,Red wine,Montefalco Sagrantino,Italy,Il Domenico Montefalco Sagrantino,2007,4.3,121,74.99,62.1526,61.7987,5.30009,46.051
Casadei,Red wine,Toscana,Italy,Petit Verdot (Filare 41),2013,4.3,120,70.99,47.985,36.3209,16.6391,40.6749
Galardi,Red wine,Roccamonfina,Italy,Terra di Lavoro,2016,4.3,110,79.99,80,43.3687,24.7444,26.6406
Casadei,Red wine,Toscana,Italy,Cabernet Franc (Filare 18),2015,4.3,109,70.99,47.7271,36.6117,16.3525,39.7875
Tenuta Il Poggione,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2016,4.3,108,74.95,47.0222,56.0367,5.48307,61.5752
Mauro Veglio,Red wine,Barolo,Italy,Barolo Gattera,2016,4.3,105,74.99,60.8165,67.1581,4.47825,78.5
Tenet Wines,Red wine,Columbia Valley,United States,GSM,2015,4.3,94,71.38,65.8379,55.9754,9.08905,63.5757
Vine Cliff,Red wine,Napa Valley,United States,Napa Valley Cabernet Sauvignon,2017,4.3,93,78.95,80,52.0001,2.2324,50.3064
Rudd,Red wine,Oakville,United States,Cabernet Sauvignon Crossroads,2016,4.3,86,74.89,80,50.684,10.1121,49.6801
Résonance,Red wine,Yamhill-Carlton District,United States,Résonance Vineyard Pinot Noir,2016,4.3,85,74.99,20.7402,20.5307,0.843297,62.9731
Rodney Strong,Red wine,Alexander Valley,United States,Rockaway Cabernet Sauvignon,2015,4.3,84,74.95,80,50.5989,6.75717,40.5267
Fèlsina,Red wine,Chianti Classico,Italy,Berardenga Chianti Classico Riserva,1995,4.3,77,74.99,44.1371,55.5721,2.1566,62.4485
Giacomo Fenocchio,Red wine,Barolo,Italy,Barolo Villero,2016,4.3,74,75,57.3352,73.6874,3.74619,78.2362
Carpineto,Red wine,Vino Nobile di Montepulciano,Italy,Vino Nobile di Montepulciano Vigneto St. Ercolano,2010,4.3,74,77.99,55.5115,50.7084,1.33467,64.0797
